unique.cellid,unique.drugid
JHOS-4,5-FU
JHUEM-2,5-FU
JIMT-1,5-FU
JiyoyeP-2003,5-FU
JM1,5-FU
Jurkat Clone E6-1,5-FU
JVM-3,5-FU
K-562,5-FU
K052,5-FU
KASUMI-1,5-FU
KASUMI-2,5-FU
KATOIII,5-FU
KE-97,5-FU
KG-1,5-FU
KHOS-240S,5-FU
KM12,5-FU
KMBC-2,5-FU
KMS-11,5-FU
KNS-62,5-FU
KNS-81-FD,5-FU
KP-3,5-FU
KP-4,5-FU
KP-N-S19s,5-FU
KPL-1,5-FU
KYSE-140,5-FU
KYSE-30,5-FU
KYSE-410,5-FU
KYSE-450,5-FU
L-428,5-FU
LC-1/sq-SF,5-FU
LCLC-103H,5-FU
LCLC-97TM1,5-FU
LN-229,5-FU
LNCaP-Clone-FGC,5-FU
LOUCY,5-FU
LoVo,5-FU
LOXIMVI,5-FU
LP-1,5-FU
LS 180,5-FU
LS-1034,5-FU
LS-123,5-FU
LS-174T,5-FU
LS-411N,5-FU
LS-513,5-FU
LU-135,5-FU
LU-65,5-FU
LU-99A,5-FU
LXF-289,5-FU
LY2,5-FU
M14,5-FU
Malme-3M,5-FU
MA-CLS-2,5-FU
MB 157,5-FU
MC-CAR,5-FU
MC-IXC,5-FU
MCF10A,5-FU
MCF10F,5-FU
MCF12A,5-FU
MCF7,5-FU
MDA PCa 2b,5-FU
MDA-MB-134-VI,5-FU
MDA-MB-157,5-FU
MDA-MB-175-VII,5-FU
MDA-MB-231,5-FU
MDA-MB-330,5-FU
MDA-MB-361,5-FU
MDA-MB-415,5-FU
MDA-MB-435,5-FU
MDA-MB-436,5-FU
MDA-MB-453,5-FU
MDA-MB-468,5-FU
MEC-1,5-FU
MEG-01,5-FU
MES-SA,5-FU
Mewo,5-FU
MFE-319,5-FU
MFM-223,5-FU
MG-63,5-FU
MHH-PREB-1,5-FU
MIA-PaCa-2,5-FU
MKN1,5-FU
MKN45,5-FU
MKN7,5-FU
MKN74,5-FU
ML-2,5-FU
MM1-S,5-FU
MOLM-16,5-FU
MOLT-16,5-FU
MOLT-4,5-FU
MOR/CPR,5-FU
MPP-89,5-FU
MSTO-211H,5-FU
MT3,5-FU
MV-4-11,5-FU
MX-1,5-FU
NALM-1,5-FU
NALM-6,5-FU
NB-TU-1-10,5-FU
NB1,5-FU
NB4,5-FU
NC37,5-FU
NCC-IT-A3,5-FU
NCI-ADR-RES,5-FU
NCI-H1048,5-FU
NCI-H1092,5-FU
NCI-H1105,5-FU
NCI-H1155,5-FU
NCI-H1299,5-FU
NCI-H1355,5-FU
NCI-H1373,5-FU
NCI-H1395,5-FU
NCI-H1435,5-FU
NCI-H1436,5-FU
NCI-H1437,5-FU
NCI-H146,5-FU
NCI-H1563,5-FU
NCI-H1568,5-FU
NCI-H157,5-FU
NCI-H1573,5-FU
NCI-H1581,5-FU
NCI-H1618,5-FU
NCI-H1623,5-FU
NCI-H1650,5-FU
NCI-H1651,5-FU
NCI-H1666,5-FU
NCI-H1694,5-FU
NCI-H1703,5-FU
NCI-H1755,5-FU
NCI-H1770,5-FU
NCI-H1781,5-FU
NCI-H1792,5-FU
NCI-H1793,5-FU
NCI-H1836,5-FU
NCI-H1838,5-FU
NCI-H187,5-FU
NCI-H1876,5-FU
NCI-H1915,5-FU
NCI-H1930,5-FU
NCI-H1944,5-FU
NCI-H1963,5-FU
NCI-H1975,5-FU
NCI-H1993,5-FU
NCI-H2009,5-FU
NCI-H2023,5-FU
